host_id;host_url;host_name;host_since;host_ville;host_pays;host_about;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count
213901352;https://www.airbnb.com/users/show/213901352;Naty;43349;Chéraute;France;"J'ai la chance d'habiter une magnifique région, dans une maison qui est un vrai petit coin de paradis et que j'ai plaisir à partager avec des vacanciers venus de tous horizons. La maison se situe sur 4 ha de bois et de prairie ou vivent mes chevaux. J'aime préparer de bons petits plats à base de produits et recettes du Pays Basque ou de Provence dont je suis originaire. Thérapeute, je sais être à l'écoute et m'adapte à la singularité de chacun en respectant les désirs d'autrui. 
En cette période particulière, j'ai tout mis en oeuvre pour vous recevoir en toute sécurité sanitaire avec une hygiène adaptée et la mise à disposition de lingettes désinfectantes et gel hydro-alcoolique. 
Je vous serez aussi de bons conseils pour vous proposer les activités et visites qui vous laisseront de beaux souvenirs à rapporter dans vos valises.
Je propose à la carte:
-des balades à cheval pour les cavaliers, un bon moyen pour découvrir de somptueux paysages. 
-des petits déjeuner et repas du soir.
-des stages de découverte de la peinture acrylique ou huile ou de l'art-thérapie pour le développement personnel, qui sont mes activités professionnelles.
Je vis avec deux adorables chats, avis aux allergiques!!";within an hour;1;0,92;0;3;3
44590255;https://www.airbnb.com/users/show/44590255;Lucia;42266;Urrugne;France;;within an hour;1;1;1;2;5
25580115;https://www.airbnb.com/users/show/25580115;Genevieve;42008;Anglet;France;;;;1;0;2;2
12918926;https://www.airbnb.com/users/show/12918926;Ilazki;41706;Bayonne;France;;;;;0;1;1
286277466;https://www.airbnb.com/users/show/286277466;Georges;43693;;;;within a few hours;1;1;0;3;3
201539362;https://www.airbnb.com/users/show/201539362;Hochman;43292;;;;;;0;0;1;2
286282964;https://www.airbnb.com/users/show/286282964;Susana;43693;Hendaye;France;"Somos Susana y Josetxo, pareja y padres de dos estupendos hijos. Tenemos un perro y dos gatos  que nos hacen más entretenida si cabe nuestra vida.
Nos encantará compartir contigo un café si te apetece, aunque si quieres intimidad nos esforzaremos al máximo para que así sea. 
Después de muchos viajes, ahora somos nosotros los que queremos hacerte sentirte especial en nuestra casa.
Nuestro lema ""Lo único imposible es aquello que no intentas""";within an hour;1;1;1;1;1
292574883;https://www.airbnb.com/users/show/292574883;Alain;43714;;;;within an hour;1;1;0;1;1
186914263;https://www.airbnb.com/users/show/186914263;Patrick;43219;;;"Originaire du pays basque
Je pratique la course à pied, le vélo
Et j espère me mettre bientôt au golf
En un mot le sport est mon hobby principal

Je souhaite que votre séjour chez moi se passe bien  quel que soit le motif de votre venue
Que vous vous y sentiez bien!";;;1;1;1;1
152028081;https://www.airbnb.com/users/show/152028081;Camille;43003;Ussac;France;;within a few hours;1;0,75;0;1;1
290451791;https://www.airbnb.com/users/show/290451791;Annie;43708;;;;within a day;0,63;0,5;0;2;2
286577771;https://www.airbnb.com/users/show/286577771;Géraldine;43694;;;;within an hour;1;1;1;1;1
166929321;https://www.airbnb.com/users/show/166929321;Nicolas;43110;Hong Kong Island;Hong Kong;;within a day;1;0,67;0;1;1
293946645;https://www.airbnb.com/users/show/293946645;Pascale;43719;;;;within an hour;1;1;0;1;2
141972159;https://www.airbnb.com/users/show/141972159;Sonia;42939;Saint-Pée-sur-Nivelle;France;;within an hour;1;0,98;1;1;1
54018387;https://www.airbnb.com/users/show/54018387;Alice;42379;Biarritz;France;;within an hour;1;0,97;0;1;1
74752564;https://www.airbnb.com/users/show/74752564;Marion;42520;Anglet;France;;;;0,92;1;1;1
53721812;https://www.airbnb.com/users/show/53721812;Maud & Kévin;42376;Bayonne;France;;within an hour;1;0,83;1;3;5
119608308;https://www.airbnb.com/users/show/119608308;Fabien;42801;Jatxou;France;;;;;0;1;1
268352811;https://www.airbnb.com/users/show/268352811;Sancos;43629;Biarritz;France;;within a day;1;;;2;2
77775373;https://www.airbnb.com/users/show/77775373;Marine;42535;Bayonne;France;;within an hour;1;0,92;0;1;2
30517612;https://www.airbnb.com/users/show/30517612;Emmanuel;42097;Biarritz;France;;within an hour;0,9;0,82;0;1;1
294541206;https://www.airbnb.com/users/show/294541206;Anne-Marie;43721;;;;within a few hours;1;0,99;1;1;5
107280729;https://www.airbnb.com/users/show/107280729;Cécile;42718;Arbonne;France;;within an hour;1;0,94;0;1;1
287443560;https://www.airbnb.com/users/show/287443560;Sylvie;43697;;;;within an hour;0,67;1;0;1;1
111559695;https://www.airbnb.com/users/show/111559695;Helene;42750;Biarritz;France;"J'habite Biarritz. J'ai créé mon activité en prestations de services autour de la location saisonnière.
J’ai plaisir à vous accompagner pour faciliter votre accueil.";;;;0;6;9
73335174;https://www.airbnb.com/users/show/73335174;Dominique;42512;La Chapelle-sur-Erdre;France;;within a few hours;1;0,95;1;1;2
148193187;https://www.airbnb.com/users/show/148193187;Agnès;42976;Blaye;France;;within an hour;1;0,67;0;1;2
294886901;https://www.airbnb.com/users/show/294886901;Patrick;43722;;;;;;0,25;0;1;1
271867242;https://www.airbnb.com/users/show/271867242;Isabelle;43643;Hasparren;France;;within a few hours;1;1;1;1;2
73034367;https://www.airbnb.com/users/show/73034367;Julien;42510;Ustaritz;France;Gora Euskadi;;;0;0;1;1
34892744;https://www.airbnb.com/users/show/34892744;Laurent;42158;Saintes;France;;;;1;0;1;1
295321754;https://www.airbnb.com/users/show/295321754;Solange;43724;Arnéguy;France;;;;;0;1;1
162710293;https://www.airbnb.com/users/show/162710293;Frederic;43083;Macaye;France;Nous  avons la cinquantaine. Marier. Une fille de 15 ans  deux petit chien. Madame travaille  dans un centre commercial  et mrs est menuisier  et musicien. chiens acceptés 5 euros par chien  et par jour  a régler sur place;within a day;0,5;1;0;1;1
28808645;https://www.airbnb.com/users/show/28808645;Christophe;42068;Shelburne;VT;;within an hour;1;1;0;1;1
